"BLD_NM","GRND_FLR","HEIGHT","height2","geometry"
\N,"15","70.5","52.5","POLYGON ((126.9374738856222 37.51295085005354, 126.93740263917582 37.51297679614954, 126.93738269243622 37.51318180711457, 126.93762591964405 37.513196814375526, 126.93764713240239 37.51297868554246, 126.93765846525504 37.512979385436985, 126.93766703469812 37.5128913266521, 126.93763754896271 37.51288949970723, 126.93763671595595 37.512898085755346, 126.93753806822458 37.51289199568921, 126.93753526109336 37.51292089814296, 126.93747465017512 37.512942975756935, 126.9374738856222 37.51295085005354))"
\N,"15","63.5","52.5","POLYGON ((126.98807520714789 37.577846795960745, 126.98694347646881 37.577824326190225, 126.98693344345624 37.578187611855306, 126.98806382116553 37.57820998245847, 126.98807520714789 37.577846795960745))"
\N,"15","51.5","52.5","POLYGON ((126.98514992163976 37.573294720273125, 126.98525783677061 37.57312886337359, 126.98545931382154 37.5732104303289, 126.98550460722488 37.57314655646198, 126.98504121160985 37.5729559428265, 126.98488721003731 37.57318540277287, 126.98514992163976 37.573294720273125))"
\N,"15","64.6","52.5","POLYGON ((126.97902472815855 37.56868326688714, 126.97879091439498 37.56869448446175, 126.97879320082643 37.56873192997387, 126.97859457947506 37.56873977522235, 126.9786095770588 37.56888901782582, 126.97905156864914 37.56886319034124, 126.97905054717624 37.56872156380448, 126.97902384480699 37.56872240564881, 126.97902472815855 37.56868326688714))"
\N,"15","60","52.5","POLYGON ((126.98041599759574 37.561747513770726, 126.98040114796162 37.56174807873903, 126.98038575473315 37.56174977885474, 126.98037231836292 37.561755686939115, 126.98036206137014 37.561765253608385, 126.98035621863104 37.56177426245461, 126.98035461910007 37.561787218394386, 126.98035744474956 37.56180101304739, 126.98036416473953 37.56181170899487, 126.98037070467136 37.56181875590291, 126.98018496172737 37.562016651818915, 126.98006401525261 37.561936955420414, 126.9800746364294 37.56192062241383, 126.98005889536557 37.561911609660854, 126.98005731032872 37.561913303232636, 126.98003096611687 37.561897251821705, 126.98003184934416 37.56189583742925, 126.98001575726289 37.56188739222984, 126.98000585058429 37.56189865279162, 126.98000691425601 37.56189949090546, 126.98000000803542 37.561906814690076, 126.97998710121139 37.561920894799975, 126.9799842606616 37.56191976804531, 126.97997400262388 37.56193271339023, 126.97999150875746 37.56194369964291, 126.97988961273555 37.56205433151598, 126.97999994641441 37.56212107894199, 126.98003194893613 37.56214023079217, 126.98003071459935 37.56214248304073, 126.98006183455671 37.5621607877922, 126.98006360068824 37.562159103263205, 126.98010569784273 37.5621827618735, 126.98015451794754 37.562127585124514, 126.9802439980126 37.562174623911325, 126.9802814959213 37.56213295990816, 126.98037698424196 37.56218646877762, 126.9803612355217 37.56220420643521, 126.98043585539347 37.56224954855248, 126.98045318889932 37.56223097324781, 126.98054070924117 37.56228504818533, 126.98049755091422 37.56233149551494, 126.98060399480609 37.56238838485863, 126.9806193923235 37.562371782353495, 126.98069488559508 37.56241149327772, 126.98075362289376 37.56234674051613, 126.98067811810216 37.56230787655689, 126.98087501034526 37.56210490024522, 126.98087978424138 37.56211362265596, 126.98088897202139 37.562123201777645, 126.98089869238245 37.562130528518374, 126.98091054127735 37.562135314840134, 126.98092415698476 37.56213587582919, 126.98093653946594 37.56213475175174, 126.9809517525928 37.56212969084298, 126.98096377474486 37.56212180928033, 126.98097174472747 37.56211477394131, 126.98097651241783 37.562104917948204, 126.98097722755526 37.56209731372309, 126.98097651728837 37.56208717747011, 126.98097175470338 37.56207844605529, 126.98096308747832 37.56206915534722, 126.98095406892674 37.56206154942723, 126.98094221988718 37.562057321723124, 126.9809236587416 37.562054507400454, 126.98091746804958 37.56205310077717, 126.98094134395505 37.56203226505843, 126.98083773267247 37.56196524038199, 126.98079562660925 37.56201421978734, 126.98053197696908 37.56186213127446, 126.98058062559471 37.56181117995557, 126.98047683266452 37.56174837155786, 126.98045490162706 37.561775685643994, 126.98045118015864 37.561767801323384, 126.98044127958923 37.56175766342645, 126.98042891086322 37.56175033617456, 126.98041599759574 37.561747513770726))"
\N,"15","51","52.5","POLYGON ((126.9853954316991 37.56398495929144, 126.98537030275484 37.56409815611352, 126.98534872959367 37.564098153161, 126.9853473122799 37.56410969463568, 126.98529708157325 37.56410490349366, 126.98528132231105 37.56417472797272, 126.985275663029 37.5641747271943, 126.98526168062685 37.5642451105275, 126.98536602127881 37.56426962273784, 126.98545726833378 37.56428512318594, 126.98548859218032 37.564207408135594, 126.98552577198 37.56400356442147, 126.9853954316991 37.56398495929144))"
\N,"15","65.6","52.5","POLYGON ((126.96293878351838 37.52435830980766, 126.96295258908894 37.52435002516175, 126.9627637608741 37.524151663355326, 126.96265987892143 37.52421541967608, 126.96266881100257 37.5242247028634, 126.96265217626423 37.52423496873455, 126.96276049246858 37.52434672771245, 126.96272429216918 37.52436888030634, 126.96280931717692 37.5244566651173, 126.96295269038876 37.52437300056828, 126.96293878351838 37.52435830980766))"
\N,"15","64.12","52.5","POLYGON ((127.07749257012722 37.543431487815184, 127.07722898016969 37.54345672269612, 127.07723147902955 37.543477272721105, 127.07716517774624 37.54348435195761, 127.07717906429285 37.54357641543083, 127.07737052590974 37.543558263759515, 127.07737675767383 37.54359993063482, 127.07736084958348 37.54360134639995, 127.07737401811487 37.543688076437135, 127.07744102195747 37.54368182554451, 127.07744298077877 37.54369421292437, 127.07770693360297 37.54366898634229, 127.07770461149823 37.54365547296118, 127.07777126451391 37.54364923111738, 127.07775773460057 37.54356364561719, 127.07752224810412 37.54358519596849, 127.07751636703877 37.5435435288751, 127.07757629889556 37.54353757978387, 127.07756206166628 37.543446084207694, 127.07749665293412 37.543451757508066, 127.07749257012722 37.543431487815184))"
\N,"15","52.6","52.5","POLYGON ((127.07739487464258 37.53921252800595, 127.07739260986055 37.53921072747574, 127.0773903487302 37.539212530913716, 127.07739261351217 37.53921433144391, 127.07739487464258 37.53921252800595))"
\N,"15","53.55","52.5","POLYGON ((127.09322181495185 37.59571941454937, 127.09323201083284 37.59572338897646, 127.09322900479847 37.59572825662482, 127.09328252190919 37.595749153897096, 127.09328002442032 37.5957532012561, 127.09330346365797 37.59576235504805, 127.09330896717633 37.5957534400382, 127.09333342600456 37.5957629894642, 127.09333043128758 37.5957678480965, 127.09342419963887 37.59580446318713, 127.09345271157493 37.59575822952286, 127.09344761362607 37.595756242318956, 127.09345811205188 37.595739205547574, 127.09346321001087 37.595741201760845, 127.09348871588244 37.59569983574171, 127.09348208854526 37.59569724607174, 127.09348509456179 37.59569237841688, 127.09343106765323 37.595671292426616, 127.09342807295732 37.59567616007127, 127.09341481830272 37.595670989733925, 127.09341781299935 37.59566612208964, 127.0933301623581 37.59563189885181, 127.09332715633379 37.59563676650274, 127.09331390169318 37.595631596154035, 127.09331690771808 37.595626728503404, 127.09326288089332 37.59560563342597, 127.09325988618902 37.59561050106641, 127.09325325886766 37.595607911383524, 127.09323074760475 37.59564440971293, 127.09323737492865 37.59564699939707, 127.0932274528048 37.59566309867816, 127.09322181495185 37.59571941454937))"
\N,"15","61.7","52.5","POLYGON ((127.0446302710343 37.669374037201656, 127.04484846657752 37.669384399534245, 127.04489944289986 37.668769737166734, 127.04468226543368 37.66875278844301, 127.0446302710343 37.669374037201656))"
\N,"15","56.6","52.5","POLYGON ((127.05010650371561 37.65339851456998, 127.05004510210108 37.65358341994474, 127.05023630645776 37.65363163341525, 127.05030394997242 37.65344420263132, 127.05010650371561 37.65339851456998))"
\N,"15","72.55","52.5","POLYGON ((127.04409074768452 37.66669454138072, 127.04411466172361 37.666316024905186, 127.04410723323338 37.66620863157945, 127.04403899971587 37.66620407023872, 127.0440362645422 37.666177762806235, 127.04397041181441 37.66617427272589, 127.04396759477503 37.66620319498027, 127.04369389090449 37.66622644815966, 127.04368481398997 37.666209332913006, 127.04362350224392 37.66621890512767, 127.04362600753913 37.66623980681231, 127.04354226014512 37.666259658085245, 127.04365580112606 37.66659433813692, 127.04361817691529 37.666603181106595, 127.04365370330925 37.66669281525275, 127.04370311442274 37.66668288688986, 127.04373068533712 37.66673414240008, 127.04409074768452 37.66669454138072))"
\N,"15","66.5","52.5","POLYGON ((126.92196355238066 37.53054763586525, 126.92203071382616 37.530479295646856, 126.92204823716773 37.53049111045921, 126.92223679979239 37.53030842551685, 126.92221464091328 37.530293814538446, 126.92228689284659 37.53022556768844, 126.92200977594791 37.53004977773804, 126.92199539464097 37.53006229187223, 126.92196090839589 37.53004379827077, 126.92190449989602 37.53010755063425, 126.92189330987352 37.53009790245531, 126.92172059590929 37.530271056038714, 126.92173044232423 37.530278180543064, 126.92167482932967 37.530338239256366, 126.92170558181972 37.53035709081496, 126.92169448062937 37.53037023782411, 126.92196355238066 37.53054763586525))"
\N,"15","66.5","52.5","POLYGON ((126.92196355238066 37.53054763586525, 126.92203071382616 37.530479295646856, 126.92204823716773 37.53049111045921, 126.92223679979239 37.53030842551685, 126.92221464091328 37.530293814538446, 126.92228689284659 37.53022556768844, 126.92200977594791 37.53004977773804, 126.92199539464097 37.53006229187223, 126.92196090839589 37.53004379827077, 126.92190449989602 37.53010755063425, 126.92189330987352 37.53009790245531, 126.92172059590929 37.530271056038714, 126.92173044232423 37.530278180543064, 126.92167482932967 37.530338239256366, 126.92170558181972 37.53035709081496, 126.92169448062937 37.53037023782411, 126.92196355238066 37.53054763586525))"
\N,"15","67.3","52.5","POLYGON ((126.88117230967242 37.47360660572894, 126.88087051909393 37.473519288201956, 126.88076771125372 37.47374499240267, 126.88106950261867 37.47383231019023, 126.88117230967242 37.47360660572894))"
\N,"15","68.75","52.5","POLYGON ((126.92365944719018 37.55736010166363, 126.92383196402783 37.5572147955386, 126.9236123496127 37.55704994990409, 126.92340335811815 37.557226144548466, 126.92351768857607 37.55731208445747, 126.92355450288615 37.557281024622654, 126.92365944719018 37.55736010166363))"
\N,"15","60.45","52.5","POLYGON ((126.9484683911416 37.5410438396991, 126.94858897539939 37.54093235094204, 126.9485958743296 37.540936949095304, 126.94887723793211 37.54067433643581, 126.9486898276024 37.540545771220614, 126.94864487446107 37.54059198102805, 126.9485101813188 37.540495244152076, 126.94845742076285 37.540541441373975, 126.94826787917329 37.540404134901536, 126.94814069651973 37.54040750125738, 126.94801038193572 37.54051845357295, 126.94801728047679 37.54052349324648, 126.94789489020212 37.540628592570734, 126.9484683911416 37.5410438396991))"
\N,"15","54","52.5","POLYGON ((126.91501153101105 37.55069105250879, 126.91478663652386 37.55052609632857, 126.91472886435618 37.55057614896935, 126.91476990835733 37.550606272220435, 126.91476141252431 37.5506135640042, 126.91477509400475 37.55062348495363, 126.91476943011529 37.55062834614308, 126.91481578853657 37.550662257443236, 126.91480355449613 37.5506727900519, 126.91485918447059 37.55071364577171, 126.9148418527786 37.55072867959691, 126.9149099205671 37.55077855432893, 126.91501153101105 37.55069105250879))"
\N,"15","52.8","52.5","POLYGON ((126.84731716493003 37.54880388608253, 126.8475335211124 37.54907836682749, 126.8476602010519 37.5490150751942, 126.84752448853924 37.54884289020854, 126.84764121092836 37.54878455907433, 126.84760145886119 37.54873413289051, 126.84752454269014 37.54877255896399, 126.84748366205581 37.54872068968403, 126.84731716493003 37.54880388608253))"
