"기관ID","기관명","경도","위도","응급실","수술실","입원실","병상수","agglo_cluster","중심거리지수"
"A1100049","희명병원","126.90056251863875","37.45567063464179","10","3","215","214","2","0.21402406943351687"
"A1100019","홍익병원","126.8636640030062","37.52844147447355","11","4","231","295","5","2.366131047697669"
"A1100051","혜민병원","127.08360130258502","37.535315660180416","10","5","235","255","1","0.3443429651793738"
"A1100013","한양대학교병원","127.04488284061982","37.559944533564746","32","16","684","846","0","0.18488312525844683"
"A1100055","한림대학교강남성심병원","126.9086725295","37.4932492859","31","14","515","587","2","0.8891759427846404"
"A1100027","한국원자력의학원원자력병원","127.08269315796588","37.628815981330355","12","10","450","481","0","0.326687885476795"
"A1100053","한국보훈복지의료공단중앙보훈병원","127.14671886173552","37.528220900896635","30","14","817","988","1","0.34706580191174946"
"A1100007","학교법인연세대학교의과대학세브란스병원","126.94082769649863","37.56211711412639","41","36","2183","2454","3","0.4198283837964578"
"A1100012","학교법인가톨릭학원가톨릭대학교서울성모병원","127.00472725970137","37.501800804785276","38","30","1172","1356","4","0.5308266681265916"
"A1100003","중앙대학교병원","126.96079378447554","37.50707428493414","25","14","685","776","2","0.26611821529409135"
"A1100009","재단법인아산사회복지재단서울아산병원","127.10823825113607","37.526563966361216","109","73","2422","2705","1","1.8673323251459977"
"A1100033","인제대학교서울백병원","126.98884533055192","37.5650731684839","20","5","186","205","3","0.3428369749456193"
"A1100016","인제대학교상계백병원","127.06311619032103","37.6485812672986","23","13","537","587","0","0.21433669161591506"
"A1100005","이화여자대학교의과대학부속목동병원","126.8862159683056","37.53654282637804","28","13","520","779","5","0.4403217870311036"
"A1100020","의료법인한전의료재단한일병원","127.02902417950423","37.64611570419094","20","8","345","449","0","0.1897588697930406"
"A1100075","의료법인풍산의료재단동부제일병원","127.1090292210168","37.60067564592665","7","2","104","104","0","0.23892998693652837"
"A1100023","의료법인청구성심병원","126.91955399169245","37.62079154435882","10","3","194","202","3","0.1673612584173087"
"A1100025","의료법인동신의료재단동신병원","126.93658306608872","37.58110428173239","10","4","196","207","3","0.481952160979979"
"A1100015","연세대학교의과대학강남세브란스병원","127.04631254186798","37.492806984645476","28","23","730","815","4","0.4772740778481264"
"A1100041","에이치플러스양지병원","126.93253922577287","37.48427507045319","21","6","267","299","2","0.6709205376682651"
"A1100004","순천향대학교부속서울병원","127.00441798640304","37.53384172231443","28","13","664","725","4","0.25257340744379725"
"A1100032","세란병원","126.9577071892358","37.57534016994642","10","5","213","218","3","3.407423640705954"
"A1100054","성애의료재단성애병원","126.92236733617031","37.51205044957338","21","5","255","276","2","0.5065991713192067"
"A1100028","성심의료재단강동성심병원","127.13526354631517","37.53598408220376","22","12","569","614","1","0.45813266927957824"
"A1100035","서울특별시서울의료원","127.0980910949257","37.61286931510163","22","9","549","623","0","0.3082780959281314"
"A1100223","서울특별시서남병원","126.8331299304024","37.51201935883779","10","5","252","330","5","0.31640361960034075"
"A1100040","서울특별시보라매병원","126.92404876254014","37.4937184009319","43","14","705","763","2","4.043413990350602"
"A1100022","서울특별시동부병원","127.03140257525507","37.57539886464885","10","3","192","202","0","0.22713022045858922"
\N,"서울중앙혈액원","126.870808","37.548049",\N,\N,\N,\N,"5","0.38009144130817774"
"A1100029","서울적십자병원","126.96699861289684","37.56715536263689","10","6","278","293","3","0.7599906111842597"
"A1100050","서울성심병원","127.04983805981972","37.58419129209865","6","6","213","224","0","0.36770449755230566"
\N,"서울동부혈액원","127.061883","37.647144",\N,\N,\N,\N,"0","0.22197760167823624"
"A1100017","서울대학교병원","126.99896308412191","37.57966608924356","41","42","1497","1758","3","0.28813048409983766"
\N,"서울남부혈액원","127.048767","37.482129",\N,\N,\N,\N,"4","0.32935458563013337"
"A1100021","삼육서울병원","127.0653288266823","37.587992001305395","21","5","406","431","0","0.47807814294927575"
"A1100010","삼성서울병원","127.08668245340024","37.48851613490445","71","56","1749","1979","1","0.2087021502561634"
"A1100036","부민병원","126.85094950539181","37.556940892893586","10","5","221","231","5","0.26427923929164937"
"A1100024","명지성모병원","126.89925446922592","37.4938507104387","10","3","234","243","2","0.5128369119861261"
"A1100037","대림성모병원","126.90716948025135","37.49068925436284","10","4","178","208","2","0.7608021355631599"
"A1100044","녹색병원","127.08605546969358","37.58362083896108","10","3","299","318","0","0.3015931118956556"
"A1100048","노원을지대학교병원","127.07000281991385","37.636442927386746","23","10","449","512","0","0.29524962424084533"
"A1100026","구로성심병원","126.86636039556485","37.49964578669388","10","3","202","202","5","0.356947512576373"
"A1100014","고려대학교의과대학부속구로병원","126.8847449363546","37.49211114525054","37","20","894","1075","5","0.24826412804507247"
"A1100001","경희대학교병원","127.05183223390303","37.5938765502235","21","16","604","850","0","0.5941989634974779"
"A1100039","경찰병원","127.12348793503202","37.496413213560785","13","7","181","450","1","0.2981215310434439"
"A1100002","건국대학교병원","127.0721229093036","37.54084479467721","27","18","729","869","1","0.24531200029339564"
"A1100006","강북삼성병원","126.96793805451702","37.568497631233825","13","12","559","689","3","0.8097748268418932"
"A1100043","강동경희대학교의대병원","127.15752179822283","37.553476404020664","22","14","687","667","1","0.20349318762533272"
"A1100011","가톨릭대학교여의도성모병원","126.93673129599131","37.51827233800711","20","10","351","440","2","0.3345126698189518"
"A1100008","(학)고려대학교의과대학부속병원(안암병원)","127.02647086385966","37.58715608002366","32","22","837","1048","0","0.2621396038015374"
