STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area
"0","0","0","93",,,,,J00093,C,"2017",,무립목지/비산림,경작지,,,,,110.93121126400,839.19053926400
"1","1","1","12","2","4",C,"12",J11112,APK-24C,"2018",,침엽수림,잣나무,중경목,4영급,밀,임분고 11m 이상 13m미만,402.33497791600,3470.20184185000
"1","1","1","12","2","4",C,"14",J11112,APK-24C,"2017",,침엽수림,잣나무,중경목,4영급,밀,임분고 13m 이상 15m미만,444.32600519000,7317.46709178000
"1","1","1","14","2","4",C,"18",J11114,APR-24C,"2017",,침엽수림,리기다소나무,중경목,4영급,밀,임분고 17m 이상 19m미만,228.78244366300,2858.97148898000
"1","1","2","30","0","1",A,"00",J11230,AEB-01A,"2019","2018사유림_조림(벚나무류,기타)(산딸나무,기타)(산수유,기타)(활엽수기타,기타)",활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,200.39696750600,2239.93118258000
"1","1","2","49","1","3",C,"16",J11249,ARP-13C,"2017",,활엽수림,아까시나무,소경목,3영급,밀,임분고 15m 이상 17m미만,412.08022001700,5490.04699698000
"1","1","2","49","2","4",C,"00",J11249,ARP-24C,"2020",수고측정불가지역,활엽수림,아까시나무,중경목,4영급,밀,임분고 1m 미만,145.04047831000,972.88879450400
"1","1","2","49","2","4",C,"14",J11249,ARP-24C,"2017",,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,240.96904753600,1719.81002168000
"1","1","2","49","2","4",C,"14",J11249,ARP-24C,"2017",,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,364.08840277500,4649.33800725000
"1","1","2","49","2","4",C,"16",J11249,ARP-24C,"2017",,활엽수림,아까시나무,중경목,4영급,밀,임분고 15m 이상 17m미만,258.65849000900,1729.06848053000
